invoiceDetailId,baseAmount,baseAmountBase,description,invoiceId,lineItemNumber,productId,quantity,uoMid,SalesOrderId,SalesOrderDetailId,pricePerUnit,pricePerUnitBase,tax,taxBase
169,20,40,"Benign neoplasm of urinary organ, unspecified",638,141545,703,44,"Captain's Paradise, The",3950,8006,$3084.51,$392.75,$25.22,$18.95
21,82,32,Insect bite (nonvenomous) of left front wall of thorax,356,139806,398,90,Storm Over Asia (Potomok Chingis-Khana),2384,2202,$3714.37,$197.40,$28.25,$4.88
967,80,12,Congen fistulae betw uterus and digestive and urinary tracts,7,123352,323,76,Shoot to Kill,4345,6881,$2455.49,$191.45,$47.96,$16.92
864,75,4,"Laceration of oth blood vessels of thorax, right side, subs",838,400846,823,42,Mala Noche,2852,6001,$4128.73,$336.87,$41.25,$19.92
478,88,16,Adverse effect of other hormones and synthetic substitutes,563,148761,113,90,Penitentiary II,9656,1786,$4319.21,$603.46,$30.18,$6.49
751,95,21,"Other hypertrophic osteoarthropathy, unspecified site",857,246995,818,16,Philadelphia,3045,1571,$1680.35,$473.35,$32.58,$13.23
247,6,49,"Bitten by alligator, initial encounter",935,491893,838,19,Je préfère qu'on reste amis,8457,3117,$1889.47,$174.83,$43.81,$14.70
489,65,10,Cocaine dependence with withdrawal,496,315510,137,57,Client 9: The Rise and Fall of Eliot Spitzer,6561,1155,$3677.80,$265.04,$29.43,$24.55
718,14,37,"Oth disorders of skin, subcu related to radiation",838,477850,786,29,"Candidate, The",5991,7826,$3267.88,$77.68,$46.31,$20.84
866,82,27,"Displaced fracture of right tibial spine, sequela",815,309742,61,39,Fun in Acapulco,2768,10515,$4166.41,$591.52,$29.00,$2.12
978,83,3,"Unspecified injury of bronchus, unspecified",384,482733,31,42,Punk in London,10490,10799,$1102.65,$914.06,$34.49,$15.33
677,10,27,"Unsp injury of axillary artery, left side, init encntr",523,307048,931,25,Dare,4686,9159,$2853.98,$664.91,$39.78,$15.22
865,48,10,"Nondisp fx of greater tuberosity of unsp humer, 7thB",961,234906,216,11,I Am Divine,10370,9169,$3201.19,$518.25,$47.55,$16.48
685,7,48,Age-related nuclear cataract,501,246534,742,59,"Man in the Gray Flannel Suit, The",1821,5443,$2679.09,$638.88,$32.97,$9.93
588,79,15,Malignant neoplasm of overlapping sites of eye and adnexa,78,309759,687,34,"Blade, The (Dao)",4343,2848,$4804.36,$28.45,$44.89,$6.24
18,28,1,"Fibrosis due to cardiac prosth dev/grft, initial encounter",264,495252,675,58,Concursante,5832,2272,$3812.47,$33.55,$44.97,$1.67
59,75,32,"Path fx in oth disease, unsp foot, subs for fx w nonunion",328,450838,130,2,Ball of Fire,8619,4854,$1122.67,$373.24,$41.91,$5.47
646,38,43,Acute lymphangitis of unspecified toe,813,171403,761,92,"Golden Coach, The (Le carrosse d'or)",5661,2606,$2227.50,$148.75,$30.82,$20.82
75,28,36,Laceration of intercostal blood vessels,258,140708,99,100,Savages,5705,3681,$1931.81,$978.26,$34.04,$1.98
721,89,10,"Encounter for fit/adjst of unsp artificial leg, unsp leg",270,408383,423,20,Home Movie,3396,9332,$4033.95,$952.66,$47.30,$19.69
399,76,25,"Nondisp commnt fx unsp patella, 7thF",854,331189,679,96,Tyler Perry's For Colored Girls,1084,8906,$3895.57,$167.52,$34.21,$16.67
664,71,47,Traumatic rupture of volar plate of r rng fngr at MCP/IP jt,290,366027,133,80,Marooned in Iraq (Gomgashtei dar Aragh),7796,10280,$3064.34,$943.36,$25.65,$20.01
127,50,50,Other secondary parkinsonism,883,234617,357,52,"White Cliffs of Dover, The",1043,8499,$4994.70,$805.45,$35.26,$2.51
247,68,46,"Articular disc disorder of TMJ joint, unspecified side",71,143273,731,55,Little Women,6061,5454,$2645.06,$448.18,$47.12,$7.34
132,15,37,"Disp fx of navicular of unsp foot, subs for fx w malunion",731,385965,643,68,Paper Soldier (Bumazhnyy soldat),10883,9371,$1050.95,$474.85,$44.16,$4.26
817,80,12,Centric occlusion maximum intercuspation discrepancy,530,376209,25,64,We Own the Night,3111,2031,$3913.78,$607.06,$47.91,$21.23
955,79,21,Traum rupture of collat ligament of l rng fngr at MCP/IP jt,674,359740,335,97,Punks,1909,8733,$2384.64,$986.67,$29.34,$19.75
319,24,47,Crushing injury of unspecified lesser toe(s),401,266029,178,28,The Blood of Fu Manchu,4129,10744,$4085.57,$609.78,$34.12,$13.11
851,54,47,Crushing injury of hip,180,175365,412,92,Charlotte Sometimes,1150,5889,$3678.43,$402.55,$44.81,$18.89
716,11,42,"Corrosion of first degree of right thigh, sequela",257,386538,988,14,Dots,10356,3825,$1194.20,$295.99,$26.29,$2.19
404,26,9,"Poisoning by succinimides and oxazolidinediones, undet",582,490569,356,7,Them!,5955,2793,$2745.51,$381.46,$36.33,$5.35
940,50,49,"Atrophy of globe, bilateral",215,343729,183,78,"Eleventh Year, The (Odinnadtsatyy) ",6884,6360,$4676.46,$51.74,$34.97,$19.90
961,28,48,Occup of 3-whl mv injured in collision w pedal cycle in traf,395,313446,698,34,All About My Mother (Todo sobre mi madre),7759,7539,$2123.28,$345.95,$46.50,$22.54
38,24,3,Encntr for obs for suspected exposure to anthrax ruled out,642,151616,257,61,Ivanhoe,6317,9350,$1978.00,$308.14,$30.37,$22.86
4,60,27,"Cleft lip, bilateral",700,314572,463,79,The Prophecy: Forsaken,1118,9059,$2931.40,$130.60,$35.38,$14.05
487,42,2,Infect/inflm reaction due to int fix of unsp bone of leg,846,193543,22,9,Desert Blue,2572,1060,$1519.86,$453.88,$27.62,$18.75
340,55,47,"Poisn by unsp systemic anti-infect and antiparastc, undet",270,275438,456,99,Someone Like Him (Einer wie Bruno),7359,6549,$2248.73,$712.83,$45.03,$12.24
569,13,38,"Central cord syndrome at C5, subs",775,406499,988,52,In the Name of the King: A Dungeon Siege Tale,9579,2230,$1243.36,$349.65,$26.43,$11.03
273,91,7,"Poisn by slctv serotonin reuptake inhibtr, self-harm, init",215,421434,407,3,Faust,5543,7818,$2354.41,$299.10,$34.14,$13.91
983,56,33,"Capsular glaucoma with pseudoexfoliation of lens, unsp eye",799,478410,164,38,"Beastmaster, The",2681,4200,$2353.79,$333.30,$35.72,$9.80
940,82,40,"Occ of anml-drn vehicle injured in clsn w ped/anml, sequela",899,270804,365,11,"Many Adventures of Winnie the Pooh, The",8309,9955,$2762.90,$742.43,$49.91,$23.76
316,64,11,"Displacement of implnt elec nstim of brain lead, subs",406,362445,868,35,Regret to Inform,5757,3779,$2989.38,$973.78,$41.13,$9.79
430,24,43,"Strain of muscle, fascia and tendon of lower back, subs",249,387090,475,44,Stranded,5618,2289,$3012.53,$366.05,$41.57,$21.35
936,22,26,"Posterior subluxation of unsp ulnohumeral joint, sequela",622,403308,3,96,Children of the Corn,1234,1671,$2849.94,$554.48,$38.11,$3.44
397,41,14,"Activity, other involving cooking and grilling",626,151753,659,69,Dreamchild,5522,8881,$4086.12,$921.18,$45.07,$9.74
429,37,38,"Legal intervention, means unsp, bystander injured, init",587,375591,556,2,Alexandria... Why? (Iskanderija... lih?),5675,5822,$2301.77,$73.11,$35.46,$10.84
227,76,49,"Oth nondisp fx of upper end of left humerus, init",783,179130,511,52,Innerspace,9308,1464,$1283.63,$288.49,$36.61,$23.50
419,58,42,Other superficial bite of nose,579,164590,792,91,Someday This Pain Will Be Useful to You,2417,2571,$1585.43,$354.97,$36.76,$9.84
189,61,14,"Other acute osteomyelitis, right ankle and foot",863,433200,648,87,My Blue Heaven,9285,9727,$1958.97,$483.09,$45.24,$20.52
532,7,15,"Corrosion of second degree of chest wall, initial encounter",188,338584,450,54,Marnie,4025,3339,$1029.57,$397.57,$25.17,$8.94
489,71,35,"Other contact with cow, subsequent encounter",377,226269,647,80,Race to Witch Mountain,2101,10194,$3203.95,$933.26,$45.47,$7.79
851,65,20,"Major laceration of unsp innominate or subclav art, subs",11,136314,490,98,Hateship Loveship,6202,5032,$2520.63,$708.25,$41.47,$1.98
819,80,7,"Oth mental disorders complicating pregnancy, first trimester",493,141504,444,8,Measuring the World (Die Vermessung der Welt),7264,10380,$2018.41,$351.45,$40.92,$4.17
125,61,14,Sprain of carpal joint of right wrist,285,225926,214,34,Masquerade,10701,6775,$1411.31,$170.95,$49.08,$9.12
961,61,32,Drugs primarily affecting the autonomic nervous system,492,350427,366,30,Frankenweenie,5738,5758,$3262.39,$236.50,$46.48,$8.48
358,82,24,"Juvenile rheumatoid arthritis w systemic onset, unsp wrist",288,195302,14,91,Pop Redemption,7282,4609,$1037.73,$636.83,$35.65,$1.03
801,38,17,"Burn 2nd deg mul site of left shldr/up lmb, ex wrs/hnd, sqla",991,226837,270,30,Bionicle 3: Web of Shadows,5913,10828,$1413.24,$820.49,$41.27,$24.11
685,4,48,"Legal intervention, means unsp, bystander injured, subs",855,273306,197,9,Disfigured,8044,3981,$2553.87,$819.60,$36.02,$16.60
122,21,12,"Poisoning by aminoglycosides, accidental (unintentional)",22,195004,354,76,Corman's World: Exploits of a Hollywood Rebel,10968,7381,$3120.88,$132.18,$28.79,$8.36
447,42,9,"Nondisp fx of base of 4th MC bone, l hand, init for opn fx",352,175055,220,100,"Dukes, The",9528,6086,$3722.55,$375.84,$49.66,$3.24
613,60,31,Malignant neoplasm of long bones of lower limb,440,125896,370,25,Cuckoo in a Dark Forest (Kukacka v temném lese) ,2128,4145,$2480.70,$611.05,$30.64,$11.70
840,95,38,"Osteonecrosis due to previous trauma, hand and fingers",395,448641,519,68,Epidemic,1642,7728,$2321.82,$81.04,$41.00,$15.10
824,4,27,"Osteitis condensans, unspecified ankle and foot",99,225640,942,31,Better Living Through Chemistry,6231,5402,$3487.15,$318.76,$30.33,$3.04
712,92,46,"Other specified injury of muscle, fascia and tendon of hip",861,302977,320,58,Hukkle,3415,4389,$2389.25,$607.21,$43.75,$6.41
262,19,20,"Oth osteopor w current path fracture, unsp shoulder, init",330,187009,887,82,Dead Silence,7170,6415,$3043.18,$801.63,$43.09,$16.66
546,76,4,Cellulitis of bilateral orbits,235,272357,565,67,Deep Sea 3D,3152,9231,$2738.79,$87.48,$27.99,$14.21
312,65,38,"Anterior cord syndrome at C1, init",75,261530,645,28,"36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer)",1629,3055,$4975.73,$684.19,$28.18,$13.86
131,29,47,"Nondisp unsp condyle fx low end unsp femr, 7thM",259,182257,50,66,Coriolanus,2888,4997,$1352.09,$343.89,$27.17,$5.49
213,53,6,Presence of other otological and audiological implants,752,168218,232,76,Ripley's Game,4009,5018,$4911.46,$178.48,$34.44,$6.23
705,60,44,Intentional self-harm by drown while in bathtub,220,136790,322,88,Nobody's Fool,2820,3609,$4472.03,$663.90,$35.82,$24.94
621,99,35,"Displ commnt fx shaft of r femr, 7thF",616,491407,587,91,Shakespeare High,5915,10864,$4906.38,$290.92,$30.38,$6.09
51,47,20,Displaced dome fracture of right talus,119,198199,413,5,Let It Snow,7767,4888,$3271.91,$138.62,$35.49,$3.80
590,64,44,"Full-term prem ROM, unsp time betw rupture and onset labor",736,327727,752,49,"Invisible Circus, The",8128,6298,$3915.70,$545.70,$44.52,$19.91
196,33,11,"Placentitis, third trimester, fetus 3",317,148547,453,35,"Prodigal Son, The (Bai ga jai)",9623,1228,$4283.22,$417.66,$31.63,$9.18
963,4,3,"Unsp fracture of unsp lumbar vertebra, init for clos fx",443,204549,127,62,"Price Above Rubies, A",3570,8496,$4708.39,$989.77,$39.20,$11.97
529,36,18,Infective pericarditis,290,363592,699,56,Zigeunerweisen (Tsigoineruwaizen),1334,6484,$3964.83,$140.33,$46.70,$19.59
108,92,14,"Nondisp fx of r tibial tuberosity, 7thM",314,272698,750,9,Pumpkin,9981,7993,$3602.32,$981.56,$48.75,$21.76
950,87,8,"Fracture of superior rim of right pubis, init for opn fx",489,257910,102,88,Horror Planet (a.k.a. Inseminoid),6155,9048,$4660.85,$607.35,$34.72,$2.53
399,16,28,"Unsp physl fx upr end rad, left arm, subs for fx w malunion",503,485103,981,44,Confessions of a Window Cleaner,8278,5231,$1429.91,$800.25,$25.13,$8.75
774,39,3,"Nondisp spiral fx shaft of radius, right arm, sequela",103,435390,699,1,Daylight,6696,7275,$1611.86,$795.25,$25.01,$9.37
355,95,43,"Local-rel symptc epi w simple partial seiz, not ntrct",287,455700,178,99,The Empty Hours,8850,5775,$3351.68,$196.57,$41.08,$18.43
399,97,19,"Nondisp fx of shaft of fifth MC bone, left hand, init",876,289424,377,14,Trailer Park Boys: The Movie,2510,2158,$4644.03,$331.63,$25.29,$23.92
223,15,40,Leakage of ventricular intracranial (communicating) shunt,9,182863,594,53,Silent Sonata,10193,6622,$3453.23,$930.26,$34.08,$2.96
486,94,20,Traum subdr hem w loss of consciousness of 31-59 min,271,468334,388,60,"Officer and a Gentleman, An",3371,3310,$4798.82,$985.04,$30.01,$12.93
651,63,27,"External constriction of right little finger, subs encntr",732,108079,730,20,My Gun is Quick,10715,4524,$4239.89,$131.99,$40.95,$5.78
818,66,2,Motorcycle driver injured in collision w ped/anml in traf,532,391687,727,64,Where Are My Children?,9209,10642,$1467.35,$62.76,$37.20,$14.43
777,35,37,"Unsp fracture of left ischium, subs for fx w delay heal",889,464512,842,87,Stealing Home,1299,2034,$3690.09,$736.57,$30.97,$19.12
939,56,44,"Nondisp commnt fx unsp patella, 7thG",455,295279,690,51,How I Won the War,5366,8241,$2132.86,$178.35,$26.97,$3.78
689,16,39,"Contact with steam and hot vapors, undetermined intent",192,336569,719,18,Somewhere,10288,6786,$3728.44,$297.76,$27.97,$9.88
19,85,11,"Nondisp spiral fx shaft of l femr, 7thK",456,370379,29,43,Room Service,9775,5961,$4120.21,$273.78,$47.61,$9.18
845,95,9,Primary blast injury of descending [left] colon,758,448418,494,69,"Ruling Class, The",3537,1689,$3618.68,$264.18,$37.69,$18.69
814,98,8,Laceration with foreign body of left elbow,546,357501,886,11,Deja Vu,7307,6188,$3835.86,$33.29,$48.48,$16.53
466,62,21,Unspecified open wound of toe with damage to nail,656,453634,926,61,"20,000 Leagues Under the Sea",6963,7965,$4173.24,$466.87,$32.14,$13.30
29,69,43,"Unsp pedl cyclst injured in collision w hv veh in traf, init",313,397000,496,56,Pistol Whipped,9614,4304,$2449.55,$314.62,$42.68,$15.39
488,76,26,Osteitis deformans of multiple sites,745,291036,710,1,Kurt & Courtney,3957,5390,$2852.93,$452.88,$48.54,$2.56
620,38,37,"Displaced fracture of lateral end of left clavicle, sequela",671,462969,184,80,Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo),9960,10982,$4216.08,$667.32,$37.20,$13.21
635,92,37,"Inj musc/tend peroneal grp at low leg level, unsp leg, init",674,207166,418,82,2:22,10692,3391,$4475.80,$427.49,$25.61,$1.57
366,46,13,Acquired absence of larynx,824,427434,878,58,We're Not Married!,3971,4408,$2556.05,$604.63,$41.79,$15.17
424,15,50,"Blister (nonthermal) of lower back and pelvis, sequela",984,256087,990,7,Blue Swallow (Cheong yeon),6124,4780,$1939.97,$945.34,$41.14,$19.79
809,44,18,Conn tiss and disc stenos of intvrt foramin of sacral region,650,355180,970,86,One Deadly Summer (L'été meurtrier),2881,9921,$1004.84,$561.52,$38.49,$8.41
457,68,14,Vertical heterophoria,379,210519,84,12,"Raven, The",8469,7686,$3385.36,$131.06,$37.73,$17.37
495,1,34,"Oth fx shaft of r femur, subs for opn fx type I/2 w nonunion",212,131732,599,57,Quality Street,1899,8832,$3807.16,$868.34,$43.08,$20.97
808,78,1,"Unsp mtrcy rider inj in clsn w nonmtr vehicle nontraf, sqla",73,339008,635,61,Joan of Arc,9860,8216,$1367.56,$678.29,$45.48,$5.28
908,29,3,"Displ oth fx tuberosity of unsp calcaneus, init for opn fx",661,121941,726,70,Thesis (Tesis),4576,9873,$4877.70,$526.97,$38.20,$8.39
254,3,32,"Toxic effect of venom of centipede/millipede, assault, init",456,271216,5,52,"Second Jungle Book: Mowgli & Baloo, The",10151,3415,$1484.37,$1.17,$35.42,$18.00
463,94,45,"Oth fx head/neck of unsp femr, 7thF",891,217802,107,92,"You, Me and Dupree",5785,7127,$2851.43,$852.12,$36.90,$22.90
216,59,19,Rheu arthritis of right hand w involv of organs and systems,594,119817,482,99,"January Man, The",2515,4655,$1194.57,$33.12,$37.07,$10.12
735,36,40,"Blister (nonthermal) of right index finger, subs encntr",805,171320,25,98,Brass Monkey,4350,1514,$3489.76,$389.80,$49.20,$9.10
296,73,5,"Ankylosing hyperostosis [Forestier], multiple sites in spine",28,208841,775,55,Popeye,3476,3868,$3744.54,$897.96,$29.08,$11.89
808,56,32,Non-pressure chronic ulcer of back,504,345427,578,87,"Paris, I Love You (Paris, je t'aime)",9594,1466,$1157.68,$889.74,$27.44,$8.28
981,90,30,"Corrosion of second degree of unsp thumb (nail), init encntr",405,153918,657,42,7 Virgins (7 vírgenes),9856,5038,$2271.72,$517.05,$48.63,$18.57
946,89,45,"Poisoning by beta-adrenoreceptor antagonists, self-harm",121,320953,945,50,Diary of a Cannibal,3095,5792,$3060.27,$49.80,$40.38,$7.67
640,99,18,"Derangement of unsp meniscus due to old tear/inj, unsp knee",974,111988,571,13,"House on 92nd Street, The",9512,3673,$2465.92,$606.26,$31.08,$12.83
644,55,16,"Injury of digital nerve of left index finger, init encntr",515,367934,496,94,"Tree of Wooden Clogs, The (L'albero degli zoccoli)",3377,10992,$3404.14,$886.99,$45.93,$15.87
881,94,39,"Complete transverse atypical femoral fracture, left leg",905,349683,301,97,Mimic: Sentinel,5204,5777,$4879.31,$128.62,$44.92,$20.33
964,87,26,"Corros unsp degree of head, face, and neck, unsp site, sqla",850,187237,481,50,Charlie Chan in Dangerous Money,8203,9912,$4026.88,$605.82,$32.09,$10.37
657,4,11,"Abscess of tendon sheath, shoulder",153,489407,215,65,Daffy Duck's Movie: Fantastic Island,6097,1588,$2467.02,$522.27,$46.76,$18.23
86,19,21,"Poisoning by unsp antipsychot/neurolept, accidental",830,498909,99,11,Tesla: Master of Lightning,7808,5093,$4766.43,$386.06,$39.02,$13.49
675,13,45,"Assault by unspecified firearm discharge, initial encounter",274,261401,247,28,Bedevilled (Kim Bok-nam salinsageonui jeonmal),6749,5466,$4520.98,$254.66,$30.29,$23.37
119,67,3,Other artificial opening status,833,209907,633,73,Adventures of Captain Marvel,3596,4383,$4580.01,$814.95,$31.01,$1.08
368,56,11,Other sleep related movement disorders,192,455083,394,23,"Bird with the Crystal Plumage, The (Uccello dalle piume di cristallo, L')",6555,9994,$3187.68,$634.75,$46.18,$9.32
736,60,36,"Path fx in oth dis, unsp tibia & fibula, 7thG",681,317029,349,5,Gilles' Wife (La femme de Gilles),7380,6012,$1273.60,$334.64,$29.18,$12.15
417,26,47,"Poisn by oth antacids and anti-gstrc-sec drugs, acc, init",699,487826,945,72,Playing for Keeps,5649,7528,$4460.10,$146.33,$36.36,$4.77
812,96,1,"Burn of unspecified degree of right palm, subs encntr",744,433731,542,42,Predestination,9417,5202,$3026.59,$688.29,$33.55,$4.26
785,45,12,"Other multiple births, some liveborn",161,213962,190,26,"Suspect, The (Yong-eui-ja)",3632,5995,$1138.94,$381.01,$40.01,$2.56
908,72,25,"Exposure to sofa fire due to oth burning material, subs",465,179517,63,29,Thumbsucker,7039,9152,$4573.47,$91.28,$33.25,$4.45
446,79,37,"Unsp injury of musc/fasc/tend at thi lev, right thigh, subs",408,272228,887,61,Our Curse,4723,9241,$3104.59,$822.77,$38.26,$16.45
310,48,44,Folds in Descemet's membrane,370,142730,752,17,Lara Croft Tomb Raider: The Cradle of Life,4788,5295,$4561.73,$976.77,$40.19,$10.82
201,41,19,"Retained (old) magnetic fb in ant chamber, bilateral",500,241779,92,83,Before I Go to Sleep,8407,1872,$3942.59,$617.27,$39.68,$11.69
973,89,13,"Osteomyelitis of vertebra, thoracolumbar region",329,110502,180,94,Daylight,5915,1564,$1121.29,$304.47,$36.12,$7.17
780,58,41,Injury of acoustic nerve,720,469565,244,15,Friends with Kids,1817,4022,$4546.84,$248.17,$42.06,$7.27
886,72,23,"Pathological fracture in neoplastic disease, left humerus",896,476831,110,32,"Amish Murder, An",8388,4028,$4531.81,$444.11,$36.44,$15.90
199,70,25,"Nondisp oblique fx shaft of l femr, 7thK",962,459523,470,29,"Monk and the Fish, The (Le moine et le poisson)",5670,5373,$1351.75,$356.28,$35.12,$13.14
992,20,7,Driver of amblnc/fire eng injured in traffic accident,651,254468,261,76,Red Flag,4613,1746,$2158.05,$52.16,$38.61,$5.35
234,25,24,Nondisplaced transverse fracture of left patella,156,281747,966,51,Touch of Evil,2899,4560,$2345.15,$182.36,$49.73,$10.50
393,49,1,"Displaced oblique fx shaft of humerus, unsp arm, init",948,227644,760,37,Paradise Lost 3: Purgatory,9394,1853,$1760.75,$626.00,$48.39,$11.22
571,47,15,Torus fracture of upper end of left tibia,470,109279,788,15,Leonard Part 6,2341,10456,$1361.33,$44.87,$45.97,$23.31
194,12,22,"Oth injury of unspecified carotid artery, sequela",722,302865,133,98,Parking (Ting che),8677,4715,$1203.81,$593.62,$25.54,$17.52
371,36,36,"Assault by fertilizer bomb, initial encounter",469,286447,965,84,Assassination on the Tiber,5013,1251,$2260.21,$628.63,$26.72,$9.55
950,14,21,"Stable burst fracture of third lum vertebra, init for opn fx",707,245318,363,19,In Praise of Love (Éloge de l'amour),7397,1684,$1155.17,$94.83,$42.04,$2.75
16,16,48,"Disp fx of olecran pro w intartic extn right ulna, init",51,477864,404,49,Crockdale,10103,7825,$3218.08,$70.43,$39.76,$22.43
671,17,18,"Stiffness of shoulder, not elsewhere classified",347,246678,968,90,Vixen!,7170,7640,$2565.05,$436.15,$36.21,$6.13
41,14,17,"Anterior subluxation of right radial head, initial encounter",655,202462,96,87,God Is Brazilian (Deus É Brasileiro),6632,9228,$3805.79,$261.69,$25.70,$4.33
370,31,11,Other specified fracture of ischium,422,476373,615,79,Fire in Castilla (Tactilvision from the Moor of the Fright),5893,6809,$2071.54,$234.13,$34.82,$20.06
32,79,27,Newborn affected by breech delivery and extraction,574,244021,596,46,Metropolis,2313,1469,$2603.94,$785.77,$39.45,$5.64
330,40,45,"Cystic kidney disease, unspecified",16,229793,290,18,Delta Farce,10327,8904,$3701.83,$261.37,$35.85,$4.57
988,34,49,Urethritis and urethral syndrome,186,102724,906,92,August Rush,1995,9299,$2827.99,$114.57,$33.32,$21.89
517,76,15,"Bitten by other nonvenomous marine animals, sequela",228,233512,92,43,Calendar,9685,10010,$1854.13,$641.45,$50.00,$2.23
297,33,7,"Ocular lac w/o prolaps/loss of intraoc tissue, r eye, init",153,312531,460,63,Where the Road Meets the Sun,8510,9810,$4991.92,$305.43,$25.20,$15.70
583,8,2,"Unsp fracture of unsp wrs/hnd, subs for fx w delay heal",316,299378,688,68,"Anna Nicole (Anna Nicole Smith Story, The)",4955,6155,$2201.61,$740.30,$37.40,$7.94
401,39,10,"Subluxation of distal interphaln joint of l rng fngr, subs",422,214844,320,79,Ill Manors,2289,1927,$2089.68,$423.68,$40.97,$8.32
339,81,29,"Injury of axillary nerve, left arm, subsequent encounter",898,459199,408,23,All the Invisible Children,3631,3754,$2987.22,$917.16,$47.75,$3.83
705,67,33,Type 2 diab w hyprosm w/o nonket hyprgly-hypros coma (NKHHC),894,144883,322,81,"Innocent Sleep, The",8549,10680,$3055.51,$582.59,$28.38,$12.69
821,23,40,"Unsp inj intrinsic msl/tnd at ank/ft level, unsp foot, subs",393,291072,372,68,"Birdsong (Cant dels ocells, El)",10752,10107,$3176.66,$999.55,$48.08,$8.04
39,23,18,"Contus/lac right cerebrum w LOC of 31-59 min, init",140,310099,4,44,Louis C.K.: Live at The Comedy Store,3160,6496,$2351.36,$427.23,$30.24,$1.21
348,94,7,"Disloc of unsp interphaln joint of l little finger, sequela",308,356694,887,46,World's Greatest Dad,7921,6061,$3204.73,$978.48,$36.23,$14.11
801,45,23,"Superficial foreign body, unspecified ankle, sequela",449,176008,815,53,Obvious Child,7203,4024,$4821.56,$775.26,$25.43,$15.16
95,27,40,"Colles' fracture of left radius, init for opn fx type 3A/B/C",323,374965,953,69,The Stranger's Return,7544,1136,$1179.80,$618.46,$33.84,$13.61
526,15,32,Unspecified superficial injury of right hip,451,443864,873,47,Atlantis: The Lost Empire,4731,10906,$4553.17,$738.31,$29.73,$3.50
532,90,33,Infections of kidney in pregnancy,373,265770,538,59,Tokyo Twilight (Tôkyô boshoku),4966,7584,$2137.43,$608.63,$28.17,$3.55
76,60,5,"Poisoning by iminostilbenes, assault, sequela",88,112075,72,94,Farewell (L'affaire Farewell),3859,1675,$2574.73,$507.37,$29.65,$6.88
379,40,9,"Occup of bus inj in clsn w nonmtr vehicle in traf, sequela",987,188444,891,36,Reds,1912,8828,$4740.53,$911.43,$25.65,$3.21
323,21,38,"Unsp inj musc/fasc/tend long hd bicep, unsp arm, sequela",527,305875,142,41,"Cat in the Hat, The",10544,3848,$2497.23,$101.10,$42.78,$8.51
237,72,16,Other serum reaction due to vaccination,919,179030,860,67,Secrets of the Heart (Secretos del Corazón),8860,8034,$3517.40,$716.28,$37.87,$15.94
270,61,11,"Other infective (teno)synovitis, right ankle and foot",723,403796,362,53,Zouzou,4000,10913,$3723.42,$865.44,$45.55,$2.47
428,53,24,"Diseases of the resp sys comp pregnancy, third trimester",235,326435,815,90,Keep the Lights On,8742,4893,$1073.01,$646.12,$27.87,$8.69
139,77,47,"Unsp dislocation of right sternoclavicular joint, init",923,465359,738,22,Best Laid Plans,3496,1359,$1609.98,$88.15,$44.35,$5.04
424,9,13,"Displ transverse fx shaft of r rad, 7thQ",92,171560,211,55,Common,2769,6400,$1227.79,$176.70,$35.86,$12.87
200,11,39,"Toxic effect of venom of bees, assault",195,242538,3,75,Tulpan,7547,7753,$3130.14,$805.23,$36.56,$22.97
321,21,49,Vertical strabismus,500,105057,161,33,Ip Man 2,10470,8595,$2133.74,$203.25,$46.83,$14.19
664,41,32,"Disp fx of shaft of fourth MC bone, r hand, init for opn fx",811,307064,969,99,Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale),1530,2790,$3081.85,$882.31,$43.67,$22.59
7,34,42,"Sltr-haris Type II physl fx low end l tibia, 7thG",31,169635,28,5,Million Dollar Arm,4371,8431,$3489.60,$84.80,$38.16,$12.47
380,35,2,Pemphigoid,154,304212,622,23,"String, The (Le fil)",2243,6510,$2554.10,$760.30,$40.92,$8.51
253,87,44,"Unsp fx shaft of r fibula, init for opn fx type 3A/B/C",201,348542,702,58,"Arrival, The",4109,1540,$4282.29,$859.59,$27.58,$9.96
93,37,7,"Acquired clubfoot, unspecified foot",265,121782,359,16,Where's Poppa?,2467,10333,$2362.71,$719.71,$28.07,$12.83
983,68,35,Fall from skateboard,863,272414,330,97,"Wild Bunch, The",2948,8405,$1988.74,$279.62,$29.09,$7.46
285,100,21,"Person inj in clsn betw car and 2/3-whl pwr veh, sequela",112,360322,314,28,Night of the Demons 2,6538,2668,$1275.76,$779.22,$46.73,$15.10
345,40,32,"Nondisplaced fracture of acromial process, left shoulder",45,341599,112,61,Eila,8571,1087,$3858.42,$919.17,$28.54,$4.35
477,35,23,Corrosion of third degree of trunk,118,299699,74,90,Raging Phoenix (Deu suay doo),3534,7713,$1975.00,$840.38,$25.73,$9.96
177,55,26,"Pressure ulcer of left upper back, stage 3",570,346520,582,96,Anchorman: The Legend of Ron Burgundy,7972,9337,$4882.17,$409.07,$37.29,$16.04
653,44,16,"Burn of unsp deg mult sites of unsp ankle and foot, sequela",619,203773,520,93,Toy Story of Terror,4490,3813,$2077.57,$7.32,$47.13,$19.75
41,13,19,"Placentitis, first trimester, fetus 1",204,228090,884,39,Knocked Up,8125,9881,$3779.67,$388.16,$40.86,$8.40
