productId,createdOn,name,defaultUoMid,description,productTypeCode,stateCode
24,2016-01-30,Y-find,13 Fighting Men,Hypermetropia,50436-6527,666 01
46,2020-11-05,Stringtough,Pohjanmaa,"Nondisp fx of medial epicondyl of r humerus, init for opn fx",52686-310,
807,2019-04-12,Span,California Conquest,"Fracture of orbital floor, right side, 7thD",55910-431,56030
906,2020-05-23,Subin,"2013 Rock and Roll Hall of Fame Induction Ceremony, The","Bullous keratopathy, left eye",58930-044,966-0847
392,2015-09-29,Tempsoft,Kings of the Road (Im Lauf der Zeit),"Nondisp bicondylar fx left tibia, init for opn fx type I/2",0597-0002,
276,2015-04-10,Tampflex,Of Freaks and Men (Pro urodov i lyudey),"Burn 2nd deg mul sites of r shldr/up lmb, ex wrs/hnd, sqla",76074-120,90-557
273,2017-10-27,Temp,Fear Over the City,"Maternal care for malpresentation of fetus, unsp, fetus 1",0904-5354,
66,2017-03-31,Holdlamis,How I Won the War,Contusion of unspecified part of pancreas,76369-7001,8601
862,2016-12-29,Stim,Breaking the Maya Code,Lac w/o fb of r bk wl of thorax w penet thoracic cavity,16714-694,
625,2020-11-23,Hatity,Duma,"Toxic effect of zinc and its compounds, accidental, subs",46122-139,238158
52,2016-07-08,Prodder,Prairie Fever,Encntr for exam for delay growth in chldhd w/o abn findings,0409-7714,13630-000
612,2017-03-01,Fixflex,"True Story of Jesse James, The","Cannabis use, unspecified with psychotic disorder",63717-331,37-470
758,2019-05-08,Bamity,Quiz Show,"Stress fracture, unsp foot, subs for fx w malunion",41250-173,788 16
614,2017-03-03,Trippledex,Backflash (Backflash Blues),"Burn of 3rd deg mu sites of unsp ankle and foot, subs",0075-8030,G0E
405,2016-03-15,Aerified,Phoebe in Wonderland,Sepsis due to Streptococcus pneumoniae,0409-7985,19018
918,2015-05-06,Solarbreeze,In Bloom (Grzeli nateli dgeebi),"Nondisp fx of sternal end of unspecified clavicle, sequela",30142-370,
308,2019-04-03,Regrant,Summer Wars (Samâ wôzu),Burn of second degree of unspecified thumb (nail),13630-0057,
104,2018-09-11,Redhold,American Son,Intentional self-harm by sharp object,0268-2002,458 92
959,2018-02-26,Stim,Quartet,"Laceration w/o fb of left eyelid and periocular area, init",68180-384,
966,2017-05-05,Alphazap,The First Men in the Moon,Secondary syphilitic female pelvic disease,42627-209,130027
384,2020-02-21,Solarbreeze,Roman Polanski: Wanted and Desired,"Newborn light for gestational age, 750-999 grams",29033-001,
718,2015-10-14,Tres-Zap,Maria's Lovers,"Obstructed labor due to breech presentation, fetus 1",16590-162,2565-522
660,2020-05-08,Toughjoyfax,I Am Trying to Break Your Heart,"Undrdose of unsp agents prim acting on the resp sys, sequela",0378-6726,761548
956,2018-04-17,Tres-Zap,"Nutcracker, The","Osteitis condensans, lower leg",0268-6543,
419,2020-02-10,Vagram,"Brothers Karamazov, The","Disp fx of shaft of third MC bone, right hand, sequela",60505-0829,
993,2018-09-12,Span,"Commare secca, La (Grim Reaper, The)","Insect bite (nonvenomous), left ankle",0268-6630,
565,2015-01-05,Stronghold,Sanatorium,"Asphyx due to being trapped in bed linens, undet, sequela",55154-6999,
933,2016-10-05,Solarbreeze,"Naked Spur, The","Benign paroxysmal vertigo, right ear",36800-289,
894,2016-09-18,Holdlamis,"Chinese Ghost Story, A (Sinnui yauwan)","Poisoning by macrolides, assault, sequela",55714-8008,
860,2015-02-22,Gembucket,Monsieur Lazhar,Other disorders of pancreatic internal secretion,0781-1436,
199,2019-05-20,Gembucket,Aks,"Disp fx of body of hamate bone, unsp wrs, 7thK",48951-8099,354-0046
810,2020-06-09,Veribet,Love and Basketball,"Person injured in unsp motor-vehicle accident, nontraffic",0378-3422,
739,2016-02-02,Sonsing,Five and Ten,"Moderate laceration of left kidney, sequela",55312-430,
864,2017-01-13,Tampflex,Valmont,"Nondisp fx of low epiphy (separation) of l femr, 7thN",54868-6246,456049
596,2019-02-27,Voltsillam,"Nine Lives of Tomas Katz, The","Burn of second degree of abdominal wall, sequela",24385-441,7027
997,2017-05-26,Redhold,"Earrings of Madame de..., The (Madame de...)","Inj cutan sensory nerve at forarm lv, right arm, sequela",43742-0469,70170
670,2017-11-22,Mat Lam Tam,Mama's Boy,Tuberculous peripheral lymphadenopathy,0067-6319,
846,2017-10-13,Wrapsafe,Days of Wine and Roses,Inj radial artery at wrist and hand level of left arm,21695-069,G6B
467,2017-05-22,Duobam,Rudy,"Strain long flexor musc/fasc/tend thmb at wrs/hnd lv, sqla",52959-144,9611
187,2018-02-26,Lotstring,101 Dalmatians,"Displaced subtrochanteric fracture of right femur, init",10019-631,
991,2016-07-12,Asoka,"Christmas Memory, A (Truman Capote's 'A Christmas Memory')","Complete traumatic amputation of hip and thigh, level unsp",63736-024,
68,2016-05-22,Pannier,Bananas!*,"Unsp injury of unsp intra-abdominal organ, init encntr",59779-446,80130
869,2016-10-15,Hatity,Underworld,"Peripheral pterygium, progressive, right eye",37205-519,6262
483,2020-10-17,Bamity,Fragments of an Alms-Film (Fragmentos de um Filme-Esmola: A Sagrada Família),"Other superficial bite of right foot, initial encounter",49349-232,
98,2017-12-09,Sub-Ex,Marley,"Poisoning by amphetamines, assault, initial encounter",30142-282,
612,2015-11-02,It,"Adventures of Arsène Lupin, The (Aventures d'Arsène Lupin, Les)","Unspecified injury of brachial artery, unspecified side",64205-214,
88,2015-10-11,Voltsillam,Paulette,"Transient synovitis, right hip",57344-146,
975,2015-06-06,Sub-Ex,Zero Effect,Abscess of breast associated with lactation,50988-277,49700-000
86,2017-03-30,Cookley,"Low Down Dirty Shame, A","Displacement of vascular dialysis catheter, subs encntr",0573-1928,
495,2016-09-11,Keylex,High Strung,"Unsp inj unsp blood vess at shldr/up arm, unsp arm, sequela",52125-984,
184,2020-06-06,Y-find,Standing Up,"Car driver injured in collision w pedal cycle in traf, subs",13811-583,669-5313
903,2017-07-07,Biodex,Rhyme & Reason,"Oth injury of posterior tibial artery, unsp leg, sequela",68788-9004,
602,2019-08-31,Domainer,"Omega Man, The",Breakdown of cranial or spinal infusion catheter,53738-0710,69818
805,2016-08-10,Flowdesk,Spartacus,"Underdosing of glucocorticoids and synthetic analogues, init",0168-0269,
405,2018-04-01,Fintone,Contagion / Bio Slime,Unspecified complication of bone graft,41520-078,33801 CEDEX
257,2017-03-28,Span,Once Upon a Time in Anatolia (Bir zamanlar Anadolu'da),"Toxic effect of lead and its compounds, assault, subs encntr",51143-434,
44,2016-03-18,Cookley,Mutant Chronicles,"Ped on rolr-skt injured in clsn w rail trn/veh nontraf, init",21695-950,
635,2019-06-05,Zoolab,"Private Life of Henry VIII, The","Intestinal malabsorption, unspecified",57844-105,
211,2016-01-13,Quo Lux,Book of Shadows: Blair Witch 2,"Nondisp comminuted fracture of shaft of ulna, left arm, init",50436-7602,3205
147,2019-05-11,Transcof,Blood Money,"Reiter's disease, right wrist",59735-100,
446,2020-04-10,Bytecard,Sisters of the Gion (Gion no shimai),"Chorioamnionitis, second trimester, fetus 2",0069-0135,
11,2019-11-14,Viva,Billy's Hollywood Screen Kiss,Unsp motorcycle rider injured in collision w unsp mv in traf,0904-7955,6324
185,2016-02-29,Zamit,Pinocchio,Dislocation of unsp interphalangeal joint of r mid finger,43269-880,
931,2017-08-23,Mat Lam Tam,"Virgin Spring, The (Jungfrukällan)","Toxic effect of formaldehyde, assault, sequela",63629-2904,
773,2016-11-26,Prodder,College Road Trip,"Drown due to fishing boat overturning, sequela",21695-288,
720,2019-07-10,Duobam,Home Sweet Home,"Foreign body in oth prt genitourinary tract, subs encntr",36987-1298,
686,2015-10-29,Zamit,Admiral Yamamoto,"Other fracture of third metacarpal bone, left hand, sequela",43386-680,1950
273,2016-02-23,Latlux,Sleeping with the Enemy,"Foreign body on external eye, part unsp, right eye, sequela",55714-1106,422847
520,2020-01-24,Bamity,American Yakuza,Displaced fracture of lesser tuberosity of left humerus,36987-1776,36970-000
986,2020-02-17,Aerified,Green Street Hooligans (a.k.a. Hooligans),"Chr angle-closure glaucoma, unsp eye, indeterminate stage",50845-0032,
353,2018-06-04,Flowdesk,"Strange Behaviour of Sexually Mature City Slickers at Mating Season, The (Das merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit)","Poisoning by oth nonopioid analges/antipyret, NEC, undet",59762-0040,
258,2015-06-20,Voltsillam,Das Lied in mir,"Stable burst fracture of first lumbar vertebra, init",62011-0210,
409,2020-06-23,Ronstring,Fade to Black,"Stable burst fracture of T7-T8 vertebra, sequela",17478-623,
105,2017-02-07,Stim,"Alien Predator (Mutant II) (Falling, The)","Vestibular neuronitis, unspecified ear",59779-055,11517
652,2015-09-02,Biodex,City of Joy,Contact with recreational machinery,62721-8127,
162,2019-06-03,Flowdesk,Lagaan: Once Upon a Time in India,"Periprosthetic osteolysis of internal prosthetic joint, init",0143-1482,
293,2016-10-28,Ronstring,"Naked City, The",Jump/div into natural body of water strk surfc causing drown,24488-022,
413,2018-06-12,Ventosanzap,The Hound of the Baskervilles,"Open bite, left ankle, subsequent encounter",0113-0379,
113,2017-01-10,Job,This Thing With Sarah,"Nondisp seg fx shaft of r tibia, 7thR",24286-1563,05-230
949,2019-07-05,Konklab,Hellboy II: The Golden Army,"Milt op involving gasoline bomb, military personnel, init",49348-692,
133,2019-01-05,Latlux,"Virgin Queen, The","Unsp fx upr end unsp rad, 7thM",17478-190,9024
232,2018-01-13,Zoolab,"Swades: We, the People (Our Country)","Disp fx of med epicondyl of l humer, 7thD",54868-3112,
66,2020-09-20,Ronstring,Gold,"Total (external) ophthalmoplegia, left eye",53346-1317,
606,2017-01-27,Y-find,Brooklyn,Unspecified lagophthalmos right upper eyelid,75848-0400,
977,2016-12-03,Zamit,The Monkey King,"Contusion of right ear, initial encounter",10424-147,4950-416
481,2020-05-11,Bigtax,Mr. & Mrs. Smith,"Ped on sktbrd injured in clsn w nonmtr vehicle, unsp, init",55154-4743,
84,2015-10-10,Flowdesk,Marriage Italian Style (Matrimonio all'italiana),"Disp fx of r tibial tuberosity, 7thD",50988-233,
631,2016-01-10,Toughjoyfax,Let it Rain (Parlez-moi de la pluie),"Nondisp transverse fx unsp acetabulum, init for opn fx",0456-0095,
924,2019-01-02,Sub-Ex,Who Wants to Kill Jessie? (Kdo chce zabít Jessii?),"Disp fx of prox phalanx of l idx fngr, 7thG",66472-035,
901,2020-07-16,Overhold,Empire of Dreams: The Story of the 'Star Wars' Trilogy,"Toxic effect of strychnine and its salts, assault, sequela",54473-255,
401,2015-08-31,Konklux,"Quiet American, The","Nondisp fx of base of nk of l femr, 7thQ",36987-2923,92061 CEDEX
508,2015-05-04,Subin,"Life and Adventures of Santa Claus, The","Nondisp avuls fx (chip fracture) of l talus, 7thG",64942-1224,
564,2020-02-05,Alphazap,The Big Bus,Abrasion of unspecified finger,0173-0739,
145,2017-12-26,Bitchip,Fighting Elegy (Kenka erejii),"Lacerat extn musc/fasc/tend l mid finger at wrs/hnd lv, sqla",0378-1610,
919,2018-02-02,Daltfresh,Power (Jew Süss),"Unsp soft tissue disord rel to use/pressure, unsp low leg",61957-0103,45250
905,2017-08-05,Fix San,Heathcliff: The Movie,Abrasion of upper arm,67618-151,633260
813,2020-05-07,Stringtough,Ossos,"Terorsm w oth explosn and fragmt, publ sfty offcl inj, subs",0078-0346,9801
571,2018-01-13,Ventosanzap,Liberty,"Underdosing of antineoplastic and immunosup drugs, init",65044-1663,2630
271,2020-09-12,Bitwolf,Quiet Flows the Don (Tikhiy Don),"Toxic effect of mercury and its compounds, assault, sequela",0363-0227,61650
479,2020-02-26,Konklux,Miracle Run,"Unsp fracture of navicular bone of right wrist, sequela",41190-165,456659
694,2017-02-24,Alpha,Lord of War,"Burn of second degree of unspecified thigh, init encntr",68387-521,747 20
459,2019-05-13,Span,Appointment with Danger,"Open bite of right great toe with damage to nail, sequela",76461-599,
514,2015-08-29,Veribet,In Your Hands (Forbrydelser),"Displ transverse fx l patella, subs for clos fx w malunion",64117-187,3005
43,2015-07-07,Prodder,Black Friday,"Nondisp bimalleol fx r low leg, init for opn fx type I/2",55312-546,
345,2015-06-19,Treeflex,Big Wednesday,"Unsp opn wnd right lesser toe(s) w/o damage to nail, sequela",49738-557,2580-128
223,2020-04-11,It,"Whole Ten Yards, The","Toxic effect of ketones, accidental (unintentional), subs",0703-6801,
87,2017-06-16,Sonsing,Forbidden Zone,Lumbago with sciatica,45802-923,J8R
805,2019-07-06,Sub-Ex,"Gymnast, The","Oth fx upr end r tibia, 7thN",41163-037,
720,2016-06-23,Toughjoyfax,Beauty and the Boss,"Other juvenile arthritis, right wrist",55465-002,
720,2016-07-17,Subin,Tokyo!,Laceration w foreign body of abd wall w/o penet perit cav,24208-453,
398,2019-09-21,Keylex,"Man on the Roof, The (Mannen på taket)",Peritonsillar abscess,51346-262,
642,2020-09-28,Overhold,"Amour fou, L'",Complete traumatic amputation of unsp foot at ankle level,10019-037,
537,2018-04-01,Flowdesk,"Violent Men, The","Superficial foreign body of breast, right breast, init",21695-250,75318 CEDEX 09
738,2020-08-30,Cardify,"Chipmunk Adventure, The","Charcot's joint, ankle and foot",55154-6967,
7,2016-10-05,Lotlux,Café de Flore,"Osteitis condensans, unspecified lower leg",49527-028,871 60
257,2018-03-11,Otcom,Morvern Callar,"Corros 1st deg mult sites of left low limb, ex ank/ft, init",67046-655,
639,2020-07-07,Namfix,Trances,"Lymphoid leukemia, unspecified, in remission",52125-866,65191
848,2019-01-04,Overhold,Maid of Salem,"Strain msl/tnd lng flxr msl of toe at ank/ft level, l foot",49035-908,95590
16,2018-09-22,Cardify,"Return, The (Vozvrashcheniye)","Blister (nonthermal) of unspecified wrist, sequela",60533-005,6536
831,2020-10-10,Sub-Ex,"Chicken, the Fish and the King Crab, The (El pollo, el pez y el cangrejo real)","Matern care for oth or susp poor fetl grth, unsp tri, fts1",33992-0109,
793,2019-04-18,Asoka,Race the Sun,Loose body in unspecified ankle,13537-175,368890
363,2017-01-27,Namfix,Satan's Sword (Daibosatsu tôge),"Legal intervnt w injury by dynamite, suspect injured, init",41616-220,919-0222
100,2016-02-17,Lotlux,Luther,Malig neoplasm of lower-outer quadrant of left female breast,21695-076,703058
70,2018-04-04,Duobam,Just Like a Woman,Unsp nephritic syndrome w diffuse membranous glomrlneph,10742-8301,
337,2016-02-11,Ventosanzap,Darling,"Atherosclerosis of CABG, unsp, w angina pectoris",52544-275,
32,2018-03-12,Zamit,Jesse James,"Displaced avulsion fracture of unspecified ilium, sequela",0941-0429,22300
174,2019-08-07,Domainer,Epic Movie,"Unsp fb in esophagus causing compression of trachea, sequela",55154-6159,36750
713,2018-04-29,Y-find,Bathing Beauty,Trichiasis without entropian left lower eyelid,55513-053,
381,2016-07-10,Tin,"Maltese Falcon, The (a.k.a. Dangerous Female)","Other specified injuries of head, initial encounter",68180-486,
902,2018-11-21,Y-Solowarm,Michael Clayton,"Nondisplaced avulsion fracture of unsp ischium, init",62250-103,71984
247,2019-06-04,Bigtax,To Sleep with Anger,Congenital malformation of optic disc,52862-020,41210
190,2016-11-04,Home Ing,Wuthering Heights,Other fracture of fifth cervical vertebra,37000-024,22510
812,2015-06-05,Viva,Wuthering Heights,"Primarily systemic and hematological agents, NEC",21130-490,
171,2017-03-27,Y-Solowarm,Besa (Solemn Promise),Civilian wtrcrft in water trnsp accident w military wtrcrft,0085-4334,
882,2016-05-06,Toughjoyfax,Inherent Vice,"Derang of unsp medial meniscus due to old tear/inj, l knee",53329-206,
159,2016-04-08,Otcom,Jack Frost,"Sltr-haris Type III physl fx low end rad, r arm, 7thD",68196-458,
455,2015-06-02,Prodder,Weeds,Other specified injuries of other specified part of neck,43498-101,16150
364,2018-03-12,Home Ing,Smiles of a Summer Night (Sommarnattens leende),"Fracture of unsp phalanx of r mid finger, init for opn fx",67684-5505,80243
404,2015-07-06,Job,Heaven Is for Real,Contact with scissors,65162-693,391545
963,2017-11-24,Matsoft,"Flying Scotsman, The","Nondisp fx of middle third of navic bone of unsp wrist, init",43063-426,
336,2016-06-08,Stronghold,Van Gogh,Fracture of navicular [scaphoid] of foot,43846-0009,520039
834,2015-04-13,Flowdesk,I'll Follow You Down,"Unsp fx shaft of unsp ulna, 7thE",68645-401,457229
210,2015-01-04,Ronstring,Zebraman,"Spontaneous rupture of other tendons, left shoulder",63868-763,586 01
7,2019-12-04,Quo Lux,Italianamerican,"Other fracture of occiput, unspecified side, 7thB",0132-0704,
376,2019-12-04,Flexidy,Superman vs. The Elite,Wegener's granulomatosis without renal involvement,53097-101,
418,2020-01-10,Stringtough,"Soloist, The","Unsp open wound of unsp finger w/o damage to nail, init",68382-346,6333
110,2015-12-31,Stronghold,Crossing Delancey,"Oth osteoporosis w current pathological fracture, left hand",56062-974,
750,2018-03-30,Bamity,Rock School,Car occupant (driver) (passenger) injured in unsp traf,42549-504,
812,2017-05-02,Sonsing,"Thick-Walled Room, The (Kabe atsuki heya)","Other specified injuries of vocal cord, sequela",65923-385,
713,2020-01-19,Sonsing,Jekyll & Hyde,Toxic effect of other seafood,61589-1826,
316,2018-12-09,Stringtough,Hunting Elephants,"Frostbite w tissue necrosis of unsp finger(s), subs encntr",12634-166,
159,2019-09-23,Zamit,American Son,"Unsp intracap fx unsp femur, subs for clos fx w delay heal",36987-3351,
573,2019-02-05,Pannier,"Boeing, Boeing","Viral hepatitis complicating pregnancy, third trimester",36987-2544,
264,2015-03-07,Tres-Zap,"Walking Dead, The","Disp fx of med malleolus of unsp tibia, 7thP",60289-030,43240
580,2016-10-06,It,Rocks in my Pockets,"Nondisp fx of base of 2nd MC bone, r hand, 7thP",49349-738,301420
233,2016-12-29,Mat Lam Tam,Run All Night,Sltr-haris Type III physeal fx unspecified metatarsal,36987-3256,
922,2016-08-10,Viva,"Union, The","Stenosis due to internal orthopedic prosth dev/grft, subs",54868-6155,
85,2020-07-09,Bitwolf,Valmont,"Progressive external ophthalmoplegia, bilateral",42352-8001,462 36
669,2019-04-13,Transcof,Dear Heart,"Open bite of l bk wl of thorax w/o penet thor cavity, init",0813-0799,4745-380
173,2020-03-08,Fixflex,On the Run,"Stress fracture, unsp femur, subs for fx w delay heal",0093-4339,
426,2016-06-28,Trippledex,Sweethearts,"Other calcification of muscle, upper arm",17089-458,142516
102,2018-12-11,Prodder,"Invisible Woman, The",Encopresis not due to a substance or known physiol condition,59779-854,47203
353,2015-11-20,Fintone,"Phantom Lover, The (Ye ban ge sheng)","Fracture of mandible of oth site, subs for fx w delay heal",0065-0325,
314,2016-01-23,Opela,Shadows of Liberty ,Nondisplaced fracture of medial condyle of right tibia,65121-884,
506,2016-04-29,Konklab,"Mad Miss Manton, The","Adhes due to fb acc left in body fol inject or immuniz, init",21130-526,74-400
305,2018-08-23,Matsoft,"Guilt Trip, The",Ectopic anus,35356-051,
146,2018-11-09,Keylex,"Computer Wore Tennis Shoes, The","Asphyxiation due to being trapped in a car trunk, assault",0603-4415,
277,2016-07-15,Zamit,At Long Last Love,"Pnctr w/o fb of r bk wl of thorax w penet thor cavity, sqla",49348-267,2922
550,2016-02-14,Stim,Nobody Else But You (Poupoupidou),"Poisn by unsp nonopi analgs/antipyr/antirheu, asslt, sequela",65912-110,543058
131,2018-10-09,Flexidy,Matrimonial Comedy (Komedia malzenska),"Disp fx of body of scapula, left shoulder, sequela",61957-1017,92592 CEDEX
120,2015-04-17,Daltfresh,Knights of Bloodsteel,"Mechanical lagophthalmos right eye, unspecified eyelid",55154-3328,8427
225,2020-11-04,Stim,Esa ja Vesa - auringonlaskun ratsastajat,"Type III traum spondylolysis of 4th cervcal vert, 7thD",54473-217,4905-014
289,2018-02-12,Transcof,Woman in the Meadow (Nainen kedolla),"Postproc endocrine and metabolic comp and disorders, NEC",36987-3127,
305,2015-08-02,Cardify,"Hi-Line, The",Other chest pain,65862-016,671 75
932,2019-08-12,Sonsing,The Hound of the Baskervilles,"Sltr-haris Type I physeal fracture of right metatarsal, 7thG",59898-160,
201,2015-05-24,Konklab,Hello I Must Be Going,"Disp fx of 1st metatarsal bone, r ft, subs for fx w malunion",0378-8115,88901
901,2016-08-02,Solarbreeze,Cabiria,"Nondisp fx of lateral epicondyl of l humer, 7thK",55316-268,
83,2019-01-20,Ronstring,Sunshine,"Contusion of vagina and vulva, initial encounter",53270-0051,430910
313,2017-12-22,Pannier,Days and Hours (Kod amidze Idriza),Other specified injury of unspecified tibial artery,20276-431,
727,2018-05-03,Namfix,Colour Me Kubrick: A True...ish Story,"Myositis ossificans traumatica, unspecified site",63629-2585,
394,2016-09-15,Tresom,"Affair to Remember, An","Congenital absence of hand and finger, bilateral",42507-405,4803
826,2018-12-18,Duobam,Joy Ride,"Obstructed labor due to shoulder presentation, fetus 5",54868-5432,
244,2015-06-12,Holdlamis,Iron Island (Jazireh Ahani),Classical phenylketonuria,55319-348,721 37
706,2015-07-17,Latlux,Path to War,"Nondisp oblique fx shaft of unsp fibula, 7thE",0023-4948,5436
866,2018-11-15,Job,Devil's Diary,"Nondisp fx of coronoid pro of unsp ulna, 7thC",0268-0116,4514
373,2018-07-22,Regrant,Hamlet,"Unsp injury of right innominate or subclavian artery, subs",0781-1635,
731,2019-07-04,Konklab,"Prisoner of Zenda, The","Unspecified blepharoconjunctivitis, unspecified eye",50181-0029,
533,2019-07-31,Stronghold,Neurons to Nirvana,"Laceration of muscle, fascia and tendon of unsp hip, sequela",11716-0101,4755-578
82,2018-06-09,Regrant,Driving Miss Daisy,"Osseous obstruction of Eustachian tube, left ear",55154-0353,6519
198,2020-09-09,Sub-Ex,"Flowers of War, The (Jin líng shí san chai)",Other specified sepsis,49288-0820,
733,2016-09-11,Viva,Scorchers,"Unsp car occupant injured in collision w van in traf, subs",0143-3188,
110,2016-01-08,Ronstring,Zazie dans le métro,Legal intervention involving manhandling,42507-215,
981,2020-12-19,Lotlux,Rudderless,"Prph tear of medial meniscus, current injury, l knee, init",64205-126,
614,2019-11-04,Overhold,"Tetsuo, the Ironman (Tetsuo)",Acute erythroid leukemia,0904-6074,659507
473,2017-10-22,Overhold,"Candidate, The",Strain of msl/fasc/tnd posterior muscle group at thigh level,65044-9993,
279,2019-04-16,Y-Solowarm,Sovereign's Company,"Chronic osteomyelitis w draining sinus, unsp ankle and foot",43269-839,
605,2015-04-18,Ronstring,The Monastery of Sendomir,"Infect/inflm reaction due to int fix of left radius, sequela",58466-104,7024
580,2016-01-17,Bamity,Unleashed (Danny the Dog),"Disp fx of third metatarsal bone, left foot, init",57520-0643,
641,2019-08-23,Viva,Peepli Live,"Poisoning by caffeine, intentional self-harm, init encntr",63833-616,6010
656,2015-10-21,It,Inside Job,"Follicular lymphoma grade III, unsp, lymph nodes mult site",25000-144,
878,2015-07-21,Fintone,The Trial of Lee Harvey Oswald,Person outside hv veh injured in nonclsn trnsp acc nontraf,52183-279,186424
479,2018-01-26,Rank,Con Air,"Poisoning by oth drug/meds/biol subst, accidental, init",59779-322,
136,2019-03-24,Job,"Crying Game, The",Sickle-cell thalassemia with splenic sequestration,55319-620,
917,2015-10-19,Subin,"Cadaver Christmas, A",Wedge compression fracture of first lumbar vertebra,36987-2238,
351,2015-08-31,Job,"Cutter, The","Driver of bus inj in clsn w rail trn/veh nontraf, sequela",0168-0078,
854,2017-04-10,Stim,"Incredible Shrinking Woman, The","Pauciarticular juvenile rheumatoid arthritis, unsp shoulder",55312-758,
207,2015-09-04,Latlux,"Guest, The",Ulcerative (chronic) rectosigmoiditis with abscess,64525-0553,
845,2020-03-13,Lotstring,Dimples,"Legal intervnt w injury by explosv shell, bystand inj, init",52124-0010,
694,2018-11-05,Sub-Ex,Talhotblond:,Other superficial bite of left ring finger,0378-6992,
147,2016-04-23,Duobam,Girlhood,Abrasion of eyelid and periocular area,51346-015,75110
666,2017-02-15,Treeflex,"Crucified Lovers, The (Chikamatsu monogatari)","Pnctr w/o fb of unsp bk wl of thorax w penet thor cav, sqla",34645-3110,07-437
947,2016-09-14,Regrant,Old Acquaintance,Corrosion of first degree of knee,0904-5643,
584,2015-05-14,Zoolab,Double Indemnity,"Juvenile myelomonocytic leukemia, in remission",51672-1273,
177,2016-12-01,Tres-Zap,Dread,"Unsp athscl native arteries of extremities, right leg",0781-5560,6053
604,2017-06-01,Y-Solowarm,MGS: Philanthropy,"Nondisp fx of capitate bone, l wrist, subs for fx w malunion",76282-274,04015
517,2015-09-06,Cookley,Silverado,Peripheral opacity of cornea,50268-111,13010
730,2020-12-16,Opela,Smashing Pumpkins: Vieuphoria,"Calcium deposit in bursa, right hip",68828-125,
716,2016-05-05,It,The Plague of the Zombies,"Oth injury of left external jugular vein, init encntr",57664-002,
306,2015-10-17,Mat Lam Tam,Tis kakomoiras,"Adverse effect of digestants, subsequent encounter",60505-3135,161250
780,2018-07-04,Namfix,My Favorite Wife,"Burn of second degree of right upper arm, subs encntr",57520-0330,
87,2018-07-13,Cookley,Family Guy Presents: It's a Trap,"Tremor, unspecified",55133-050,
664,2017-03-23,Y-Solowarm,Boys Don't Cry (Chlopaki nie placza),Typical atrial flutter,63629-1862,
372,2019-06-02,Fixflex,Spy Kids,"Adverse effect of tetracyclic antidepressants, sequela",62742-4032,2821
972,2015-12-19,Lotstring,The Ghost Story of Oiwa's Spirit,"Poisoning by salicylates, intentional self-harm",49348-471,2725
714,2017-05-13,Pannier,Street Fighter: The Legend of Chun-Li,"Cocaine use, unspecified with intoxication, unspecified",47219-301,
773,2020-05-22,Subin,Doubting Thomas,"Maternal care for anti-D antibodies, first tri, fetus 2",59469-172,2040
959,2017-09-11,Gembucket,Speed 2: Cruise Control,"Fx unsp part of scapula, unsp shoulder, init for opn fx",50563-171,
306,2016-06-14,Kanlam,"Ghost and the Darkness, The","Burn of first degree of right thigh, subsequent encounter",55253-075,
381,2018-10-04,Redhold,"Dossier 51 (Dossier 51, Le)","Lacerat unsp blood vess at hip and thi lev, left leg, subs",70253-175,49514-000
899,2019-05-26,Y-Solowarm,Spy Kids: All the Time in the World in 4D,Unspecified subluxation of left sternoclavicular joint,0781-5668,
23,2017-05-07,Sonair,"Touch of Zen, A (Xia nu)","Displaced oth extrartic fracture of unsp calcaneus, init",67692-001,35720-000
170,2020-10-24,Toughjoyfax,Space Jam,Accidental kick by another person,68645-310,
369,2020-09-15,Andalax,Saturn 3,Other postprocedural shock,55312-213,652-0837
983,2018-12-08,Tampflex,Prinsessa Ruusunen,"Oth disp fx of base of 1st MC bone, r hand, 7thK",30805-010,
99,2019-02-23,Rank,Planet of Snail,"Nondisp intertroch fx r femur, subs for clos fx w nonunion",20276-047,
535,2020-09-06,Flexidy,"Captive, The (La captive)",Irregular astigmatism,41250-205,92640
892,2020-04-09,Matsoft,Mimic 2,Unspecified transplanted organ and tissue failure,60951-734,
871,2016-08-27,Job,Ingeborg Holm,Ectopic anus,54868-6093,169 05
190,2017-12-20,Bytecard,Q,Type 2 diabetes mellitus with other oral complications,0430-0145,
136,2017-05-24,Home Ing,Independencia,"Cont preg aft uterin dth of one fts or more, unsp tri, fts4",0378-6233,98104
725,2019-02-19,Ventosanzap,She Done Him Wrong,Personal history of prostatic dysplasia,10812-534,23201
129,2015-08-31,Job,United,"Other injury of other part of small intestine, subs encntr",49701-9000,
360,2015-01-04,Fix San,Skidoo,"Unsp dislocation of right sternoclavicular joint, sequela",43269-692,366404
123,2018-03-14,It,"Incredible Shrinking Man, The",Cystocele,44924-130,34-432
129,2019-04-28,Lotstring,"Ring Two, The","Retinopathy of prematurity, stage 1, unspecified eye",52815-122,2189
455,2020-12-25,Zoolab,Good Neighbours (a.k.a. Good Neighbors),"Corrosion of first degree of right axilla, subs encntr",59746-040,142717
472,2017-01-12,Ventosanzap,Miss Annie Rooney,"Pathological fracture, right shoulder, init for fx",58411-214,
